Branch,Mean_dNdS,RateClasses,OmegaOver1,WtOmegaOver1,LRT,p,p_Holm,BranchLength
Node9,1,1,0,0,0,1,1,0.0008202603531176992
94389884,0.3271210298017005,1,0,0,0,1,1,0.02823748857553247
19484165,1,1,0,0,0,1,1,2.82428962729965e-09
165971699,3.85328680906252e-08,1,0,0,0,1,1,0.01889748965891336
Node29,1,1,0,0,0,1,1,2.82428962729965e-09
Node27,0.3362498484439199,1,0,0,0,1,1,0.004577683863304827
13094059,1,1,0,0,0,1,1,2.82428962729965e-09
Node26,0.005645828082559621,1,0,0,0,1,1,0.138423220419854
Node8,1,1,0,0,0,1,1,2.82428962729965e-09
73967496,6.504251604669423e-09,1,0,0,0,1,1,0.1112444414765091
Node7,1,1,0,0,0,1,1,2.82428962729965e-09
24497601,0.109532401625908,2,72.66719483222961,0.03130425703905926,13.69186491248365,0.0001076927359215385,0.006246178683449233,0.2295595994945392
Node6,0.03165123198585287,1,0,0,0,1,1,0.1268604808943198
149546904,0.1114458630505403,2,1999.199999973906,0.04847774572166152,11.12359699683475,0.0004261816305806687,0.02429235294309812,24.64365625156562
126302643,1.220813355828648e-08,1,0,0,0,1,1,0.05387030031405159
Node35,1.760869442415354e-07,1,0,0,0,1,1,0.006498189007867842
Node5,0.06656024917002328,1,0,0,0,1,1,0.04132993822119813
197129440,10,1,2167965.137467285,1,1.177913340579835,0.138890603860504,1,0.004602026892688312
224072957,10,1,1081372.482238689,1,0.5889544305937306,0.2214118595009883,1,0.002295473262262915
Node40,1,1,0,0,0,1,1,2.82428962729965e-09
197129425,1,1,0,0,0,1,1,2.82428962729965e-09
Node39,9.183837370023528e-09,1,0,0,0,1,1,0.07625116300381037
53127480,0.07515142092458427,1,0,0,0,1,1,0.04121876246479882
Node38,0.01853332091717252,1,0,0,0,1,1,0.1133232573156055
Node4,0.07778538331966958,2,6.762792163749483,0.03187592208676959,2.910503894981957,0.0440021874293573,1,0.1085647381401908
166797031,0.07700336642862909,2,9999.999999998339,0.02510976749106952,3.918372631867896,0.02388054625923347,1,89.15017251759976
213513112,0.04968400791218756,2,0,0,0,1,1,0.1810014969877183
Node46,0.1047242424115592,2,1999.200000000112,0.01530482767312302,5.720357268717635,0.00838465894294288,0.4611562418618584,1.85670498258402
51472297,0.06304491150025626,1,0,0,0,1,1,0.1575064804897594
Node45,0.09318168418248934,2,1.422617320571953,0.08286713200489082,0.07135357963852584,0.3946880349277054,1,0.1012458651592926
Node3,0.5678073487504419,1,3225010.913339294,1,-0.002112987414875533,0.5,1,0.006845860182128765
148232343,0.1599053062980992,1,0,0,0,1,1,0.03995337589596383
148228671,0.03663832107711338,1,0,0,0,1,1,0.03991650058823213
Node51,10,1,1903182.341195192,1,0.01322277222607227,0.4542263998667628,1,0.00403996187496822
89268701,1,1,0,0,0,1,1,2.82428962729965e-09
62859835,1,1,0,0,0,1,1,2.82428962729965e-09
Node54,0.06302088918898457,2,2.760974040062989,0.02976217867512565,0.181118263184544,0.3352069895098868,1,0.1520773599373199
Node50,0.0285431165655219,1,0,0,0,1,1,0.1379436787256137
Node2,9.332789654588703e-06,2,26.22307666412661,0.1292526837492817,-0.1854918425251526,0.5,1,9.138469949055638
297303163,7.679059376204206e-05,2,19.63988053266516,0.5374783096383795,-7.694665691815317e-05,0.5,1,1141.512808983849
Node1,10,1,0,0,0,1,1,0.3141771433419511
198426326,0.05356818138811995,2,192.4891112662385,0.1835191215405598,-0.06565884001793165,0.5,1,26.3597595131477
260799776,1.848040800311691e-05,2,16.80071397484078,0.112393894785592,-7.763959547446575e-05,0.5,1,5920.346316963351
90652851,1.565987071103703e-06,1,0,0,0,1,1,2.2590199061423e-09
7021933,0.5966040175198343,2,9999.999999998339,0.003950641611389694,29.75676188526995,2.448974628643796e-08,1.371425792040526e-06,0.05356871790554136
6684534,0.3999122531980473,1,0,0,0,1,1,0.0004923022591972859
Node12,0.02706337934718311,1,0,0,0,1,1,2.923035428203151e-05
Node10,10,2,9999.999999998339,0.001597031378098968,25.51374022110394,2.196218202299427e-07,1.185957829241691e-05,0.006777935136694328
194384368,10,1,157604.063571157,1,0.6337375486255041,0.212993830905248,1,0.0002584418820120564
Node9,0.1151099946647779,1,0,0,0,1,1,0.005454143770642528
297683500,1,1,0,0,0,1,1,2.2590199061423e-09
297683502,1.286676388799794,2,9999.999999998339,0.001596794942209212,25.52457362389396,2.183921239962139e-07,1.201156681979176e-05,0.006771832399388777
Node16,0.1564121922548216,1,0,0,0,1,1,0.003359728043864722
Node8,0.09927197318637586,1,0,0,0,1,1,0.00239203919374257
297299992,0.1985229277444501,1,0,0,0,1,1,0.007276822686750958
296227328,0.08207605953212067,1,0,0,0,1,1,0.01565749209666468
Node19,1,1,0,0,0,1,1,2.2590199061423e-09
Node7,0.1301756813327633,1,0,0,0,1,1,0.01875766905610175
71534019,0.3621762625421344,1,0,0,0,1,1,0.0005193327613522994
13785801,0.1446287347042129,1,0,0,0,1,1,0.001821807954519489
Node25,1,1,0,0,0,1,1,2.2590199061423e-09
29437200,1,1,0,0,0,1,1,2.2590199061423e-09
74210804,10,1,163226.743300504,1,0.6380482658933033,0.2122092166385637,1,0.0002676620278425465
168480127,1,1,0,0,0,1,1,2.2590199061423e-09
22478075,2.070734127047336e-06,1,0,0,0,1,1,0.0003074275400538541
Node32,1,1,0,0,0,1,1,2.2590199061423e-09
Node30,1,1,0,0,0,1,1,2.2590199061423e-09
Node28,0.3624675185022526,1,0,0,0,1,1,0.0005192584079377344
Node24,1,1,0,0,0,1,1,2.2590199061423e-09
52789279,0.5138853643188839,2,2552.099258860737,0.02867023468510255,187.9507939679097,0,0,0.4123855371919868
Node23,0.137574106782767,1,0,0,0,1,1,0.01319864532492993
198386343,0.1173754187224914,1,0,0,0,1,1,0.01397230807276113
Node22,0.1182466567940104,1,0,0,0,1,1,0.06646910043971171
Node6,0.1440757593886598,1,0,0,0,1,1,0.004161363671804966
73974357,1,1,0,0,0,1,1,2.2590199061423e-09
73974351,1,1,0,0,0,1,1,2.2590199061423e-09
Node41,1,1,0,0,0,1,1,2.2590199061423e-09
73974353,0.3646583418706068,1,0,0,0,1,1,0.0006446456841360775
Node40,0.06700900066060286,1,0,0,0,1,1,0.01323125272217478
301767638,0.09968404841375506,1,0,0,0,1,1,0.02043018834958019
Node39,0.0672305711522025,1,0,0,0,1,1,0.01314279639701828
300798549,0.09544772365221919,1,0,0,0,1,1,0.04603472172914464
Node38,0.5005190125495993,1,0,0,0,1,1,0.001328442581598793
149721616,0.07059887160210676,1,0,0,0,1,1,0.02511741204233852
Node37,0.04481376625763266,1,0,0,0,1,1,0.005539718344326587
Node5,0.1100235320148758,1,0,0,0,1,1,0.06479002963152185
126322235,0.1031363334130218,2,1.053054920717645,0.1121930106615924,0.008273695915704593,0.4637622434076468,1,0.05321353385819444
Node4,0.2081507335481813,1,0,0,0,1,1,0.01121442418814954
149410576,0.1047965435521025,2,0,0,0,1,1,0.1105148773051871
Node3,0.1208338289083366,2,190.1810051461264,0.003540674303928459,3.491576913016615,0.03084090166954445,1,0.06168507093612569
224046642,0.09024205889980673,1,0,0,0,1,1,0.02206447814879149
118087309,0.1333585446892103,2,5447.306868873833,0.00316633285803769,10.01225325482665,0.000777510779662316,0.04120807132210275,0.5785536817110891
Node51,0.1198674795445091,1,0,0,0,1,1,0.02113718775705684
290759652,7.229713988565227e-05,2,80.28463578812057,0.290602577260426,1.419601239562326,0.1167345241448944,1,40.50415708616982
Node50,0.1725866876627465,2,3.142280058810164,0.05348770269430514,1.293267964494589,0.1277232894181992,1,0.03224479821653495
Node2,0.1825703556185823,2,5703.306681152177,0.03447785295122385,3.590746084671991,0.02905107612663566,1,75.0984056997365
301621431,0.1662904758378457,2,70.93734139690925,0.001416668411155619,3.175691278098384,0.03737078910317904,1,0.01208595373661478
Node1,0.1952266368320757,1,0,0,0,1,1,0.02867969129057329
13785803,0.6995838627527611,1,0,0,0,1,1,0.0009897228147519772
13785805,1,1,0,0,0,1,1,2.2590199061423e-09
3088597,10,1,0,0,0,1,1,0
2921449,10,1,inf,1,0.6689365111924417,0.2067113167634003,1,0.0008032870200769751
Node11,10,1,inf,1,0.02854324765939964,0.4329189800464511,1,0.0008034340134346383
3551146,0,1,0,0,0,1,1,0.001732792295714017
Node10,10,1,0,0,0,1,1,0
3158349,10,1,inf,1,3.299557004389499,0.03464928488646352,1,0.001606748294744248
Node9,10,1,0,0,0,1,1,0
3219699,10,1,0,0,0,1,1,0
2583223,10,1,0,0,0,1,1,0
Node16,0.2993328767807533,1,0,0,0,1,1,0.009073820134450631
Node8,10,1,0,0,0,1,1,0
15990420,10,1,0,0,0,1,1,0
Node7,0.727430031641785,1,0,0,0,1,1,0.005651720679705016
297687896,0.1010268740573678,1,0,0,0,1,1,0.0100655207718077
Node6,0.3410083412303695,2,4.526292959751827,0.06726258278659658,1.500988432529994,0.1102596690591302,1,0.03268016832376475
296219043,0.4896020535723474,2,9999.999999998339,0.06558605212333657,55.14199055004428,5.606626274357041e-14,2.354783035229957e-12,18.92044757713128
Node5,0.4369400432246184,2,8.585588041613761,0.1025789436655967,10.78122044478005,0.0005126752674908253,0.02050701069963301,0.1141289894577445
133777809,0.1779082930887289,2,0,0,0,1,1,0.1777926034306262
73983541,0.4543923407175381,2,9999.999999998339,0.2043054981233464,72.12616158802484,0,0,114.3756669883002
301769533,0.4169972059900136,2,1.582000227854196,0.2490730023563157,0.5360549900178739,0.2320361404128434,1,0.07796513399575579
Node24,0.1410828651014528,1,0,0,0,1,1,0.06200239922679107
Node22,0.2494549267404565,1,0,0,0,1,1,0.02878566682649086
Node4,10,2,9999.999999998339,0.03468370417783495,10.28199470407344,0.0006716732092257871,0.0261952551598057,0.8975705247851531
37514859,1,1,0,0,0,1,1,0
116283476,10,1,inf,1,0.7392151605199615,0.1949562031322485,1,0.001153697346744125
Node31,1,1,0,0,0,1,1,0
2921451,0.4007893018678664,2,9999.999999998339,0.005855278371211137,18.72591271504643,7.545881902992768e-06,0.0003093811580227035,0.4726873233670087
Node30,1,1,0,0,0,1,1,0
2583225,0.403452467495006,1,0,0,0,1,1,0.004862127558788407
Node29,1,1,0,0,0,1,1,0
3551148,1,1,0,0,0,1,1,0
Node28,0.3126718699671147,1,0,0,0,1,1,0.03338374859970746
51948496,0.2003037769881787,1,0,0,0,1,1,0.04236268985733443
Node27,0.08627263554141182,2,1791.573534252051,0.01364503653339555,0.5364172874178621,0.2319606616003378,1,14.28147277833662
Node3,0.2343117909504489,2,2.41940162712979,0.1935169891320254,1.181186624104157,0.1385572774455298,1,0.2883197641238686
149474287,0.4231039319149347,2,3333.111122413192,0.2119010560731281,5.688550022208801,0.008537979133484308,0.3159052279389194,224.4153854722159
Node2,0.0001720694262382411,2,278.5290204798007,0.06065835154908117,-3.778316365580395,1,1,26.12160351897687
224050874,0.4370153672540922,2,6.424053711546502,0.1546110383497162,7.479167729852634,0.00312084581612726,0.1185921410128359,0.5594026118971883
118091252,0.6774170180173714,2,35.08213826692057,0.1305208204017584,2.538676966087223,0.05554391760323163,1,0.1246550210475583
Node39,0.2448520791028333,2,16.27590514585382,0.2547135479147181,1.362967929089791,0.1215118876132888,1,0.1433059797551261
Node1,0.1238978037190598,2,10.44612680621306,0.1553863398907944,0.1156037717373692,0.3669261754654576,1,1.080181452979822
223649472,0.05074746423397099,2,1187.278716902561,0.02963159388918812,1.40419656564336,0.1180110953327349,1,67.48175964937457
81097774,0.07803188020512956,2,440.7535469991591,0.04120564206374455,0.4034146014018916,0.2626655312738805,1,0.5327623701671318
291390150,0,1,0,0,0,1,1,0.01968631850208911
73950369,0,1,0,0,0,1,1,0.02260487831433828
68534752,0,1,0,0,0,1,1,0.07636035437191588
126296153,0,1,0,0,0,1,1,0.1321446662078067
194208617,0,1,0,0,0,1,1,0.02071065362368921
Node15,10,1,0,0,0,1,1,2.098996358812388e-09
Node13,1,1,0,0,0,1,1,2.098996358812388e-09
Node11,6.477025014460927e-08,1,0,0,0,1,1,0.009634487362917174
Node9,1,1,0,0,0,1,1,2.098996358812388e-09
13386106,1.111507180339899e-08,1,0,0,0,1,1,0.05620170706595914
Node8,1,1,0,0,0,1,1,2.098996358812388e-09
74138675,0.009474464628912153,1,0,0,0,1,1,0.05777156274662198
291394738,0.06632092389588794,1,0,0,0,1,1,0.02906274401959362
Node20,1,1,0,0,0,1,1,2.098996358812388e-09
296231113,2.505410644288076e-08,1,0,0,0,1,1,0.02482586916894355
55728968,6.907164575519091e-08,1,0,0,0,1,1,0.008992014294596474
114662616,4.224330092818742e-07,1,0,0,0,1,1,0.001468153775946133
12655103,1,1,0,0,0,1,1,2.098996358812388e-09
73586913,0,1,0,0,0,1,1,0.06376243709757402
Node31,1,1,0,0,0,1,1,2.098996358812388e-09
Node29,1,1,0,0,0,1,1,2.098996358812388e-09
Node27,1,1,0,0,0,1,1,2.098996358812388e-09
Node25,1,1,0,0,0,1,1,2.098996358812388e-09
31873228,10,1,1931499.494960482,1,1.273649588832996,0.1295415672657636,1,0.002954121938551487
Node24,1,1,0,0,0,1,1,2.098996358812388e-09
48145955,0.3625374097693678,1,0,0,0,1,1,0.00293867769051075
189053429,10,1,965588.88221651,1,0.6376787919853086,0.2122762961144115,1,0.001476815219551327
Node35,1,1,0,0,0,1,1,2.098996358812388e-09
Node23,0.03018193453089416,1,0,0,0,1,1,0.01918498172764955
Node19,1,1,0,0,0,1,1,2.098996358812388e-09
Node7,1,1,0,0,0,1,1,2.098996358812388e-09
291388431,10,1,12999929.20262508,1,0.5842376621312724,0.2223280349942949,1,0.01988267139248328
225704506,0.01927298775695016,2,0,0,0,1,1,0.5099884894508444
31418817,10,1,964844.8809901462,1,0.001624947615709971,0.4839227359950628,1,0.001475677310933127
Node40,0.005554673323301174,2,3.071989852652603,0.01467219475784542,0.6754868898824498,0.205572571486425,1,0.7748405661791243
Node38,2.371639890213194e-08,1,0,0,0,1,1,0.02610641291379802
Node6,2.388270253619872e-06,1,0,0,0,1,1,2.098996358812388e-09
12848967,1.065838079878587e-08,1,0,0,0,1,1,0.0589772288044395
Node5,0.002684930912576743,1,0,0,0,1,1,0.215740048802267
197128966,1.210611083614031,2,9999.999999998339,0.04966308620573601,79.22237190266242,0,0,0.3274210004820099
Node4,1,1,0,0,0,1,1,2.098996358812388e-09
224064212,1,1,0,0,0,1,1,2.098996358812388e-09
197128967,1,1,0,0,0,1,1,2.098996358812388e-09
Node46,1,1,0,0,0,1,1,2.098996358812388e-09
197128970,10,1,962803.8029181184,1,0.6357136561600782,0.2126336099881971,1,0.001472555595207026
Node45,5.806300841926297e-07,1,0,0,0,1,1,2.098996358812388e-09
Node3,0.006317928679401067,1,0,0,0,1,1,0.1017401392098371
89267892,4.139608832158406e-07,1,0,0,0,1,1,0.001500102245575583
161612284,1,1,0,0,0,1,1,0
Node51,2.560966697754471e-08,1,0,0,0,1,1,0.02248156379553897
148235158,0.02822060254274179,1,0,0,0,1,1,0.02212522083621217
Node50,2.360922131333175e-09,1,0,0,0,1,1,0.2880711689407219
Node2,0.04783519820363354,1,0,0,0,1,1,0.1205663923576076
73973808,0.4066052229537249,2,132.3466666666662,0.09278504873229221,40.22999576187794,1.128775961589668e-10,6.546900577220072e-09,1.274072512788714
149600698,0.03850852172194071,2,3333.685248206102,0.06670601610325577,11.89784436123955,0.0002809947212437103,0.01545470966840407,132.6996345147199
Node55,10,2,0,0,0,1,1,0
Node1,10,2,9999.999999998339,0.05535203959441559,16.27138670759814,2.744327280002068e-05,0.001536823276801158,3.181613629018491
109128665,0.3176293741130406,2,211.1727062227133,0.07256715347626452,33.18514047756616,4.189419255951066e-09,2.387968975892107e-07,0.3794572533704444
198421202,2.302597632275875e-05,2,95.69760886734585,0.1058735005056766,-1.874932422651909e-06,0.5,1,4631.829169031049
49522833,1.513483679352282,2,1956.876259022181,0.01209407071067226,38.74802474541866,2.410989741186143e-10,8.438464094151499e-09,0.07052531853947713
114670519,0.449820669826128,1,0,0,0,1,1,0.004987833822275546
38679905,0.6854715082524095,1,0,0,0,1,1,0.001992334601082225
54311135,1,1,0,0,0,1,1,1.558357476638898e-09
Node9,0.3224350510119863,1,0,0,0,1,1,0.001543756816374683
Node7,1,1,0,0,0,1,1,1.558357476638898e-09
Node5,0.1169039469414271,1,0,0,0,1,1,0.008447156733445267
297273646,0.5272819255776429,2,9999.999999998339,0.03124551187703661,41.73718794237357,5.220207599521132e-11,1.879274735827607e-09,15.76743235825318
297701816,0.1949480693398278,2,3333.111116811353,0.004221328004486602,8.235746015434415,0.002053664319533466,0.06777092254460437,0.6032739863185251
Node12,1,1,0,0,0,1,1,1.558357476638898e-09
Node4,0.3073382171376993,1,0,0,0,1,1,0.09734106462618042
76645788,10,1,inf,1,0.8425783029597369,0.1793302073094796,1,0.0006160546512494178
297487418,1,1,0,0,0,1,1,1.558357476638898e-09
Node17,0.3634651900355518,1,0,0,0,1,1,0.09716161792594062
194216638,0.3014243692974637,1,0,0,0,1,1,0.1097618075883735
Node16,0.431764341450306,1,0,0,0,1,1,0.01170499360321254
73965017,0.3632890135287403,2,138.1613067557598,0.02512662355040041,14.96873880390922,5.465354842482117e-05,0.00185822064644392,0.3043506415768298
301769001,0.3731380274600654,1,0,0,0,1,1,0.05412383180267727
Node21,0.3171151750777728,1,0,0,0,1,1,0.05142371637076775
Node15,0.4991172921785097,1,0,0,0,1,1,0.03031630824279781
Node3,0.1238089047550855,1,0,0,0,1,1,0.1109575396839907
164518923,10,1,0,0,0,1,1,1.558357476638898e-09
34785654,0.4254709246332436,2,9999.999999998339,0.005412166415988295,7.117672361131554,0.003816387030474711,0.1221243849751907,0.3894635600638476
133778050,10,1,inf,1,0.3067767027096124,0.2898324489289016,1,0.0006985440368602524
Node29,1,1,0,0,0,1,1,1.558357476638898e-09
133778069,1,1,0,0,0,1,1,1.558357476638898e-09
Node28,3.42970233540898e-07,1,0,0,0,1,1,0.001294567263575665
Node26,2.749889694861759e-07,1,0,0,0,1,1,1.558357476638898e-09
26348317,0.7410327503768508,2,9999.999999998339,0.1192747245846318,162.3416879839642,0,0,3.174855528308838
Node25,0.6045306757135526,1,0,0,0,1,1,0.04397158267924381
208973280,0.3910901743031268,1,0,0,0,1,1,0.06583874155575216
Node24,0.6607950435572042,1,0,0,0,1,1,0.1183538531633574
Node2,3.271725392638099e-05,3,0,0,0,1,1,8.009047707940532
149493902,0.2206732450927109,2,7.693027871849178,0.2055774933923138,0.5253482223815809,0.2342845780903371,1,0.673637332250809
Node1,8.630972195761544e-05,2,2.034789996085593,0.3057746582149937,0.4199107086933509,0.2584908011441124,1,1790.954370741322
224075132,0.4167319911526829,2,1.033871087992794,0.3442452785509059,-0.01312870705442037,0.5,1,0.206560559114339
118099645,0.2754789431984581,2,3.577515893211547,0.1887561147592753,2.417006907660834,0.0600120312018198,1,0.1995659831300155
73950337,0.2834858042461397,2,15.23600361334875,0.07284000287982229,21.79488865935127,1.517036729070664e-06,6.068146916282657e-05,0.2224276557255613
301752964,0.1472767808834916,1,0,0,0,1,1,0.03366263410999362
Node9,0.4884663704932594,2,12.57455532486558,0.05067118756388467,3.499781212382004,0.030688468569464,1,0.03535260339694375
149699601,0.1949782009846593,1,0,0,0,1,1,0.05539799601835699
297489828,0.5985700992149803,2,3333.085897645542,0.4474409280551582,78.98174359780569,0,0,107.1108404589817
113912219,2.541546511617257e-08,1,0,0,0,1,1,0.006461757075803717
Node14,0.3188056789131566,1,0,0,0,1,1,0.07351184188674438
Node12,10,1,inf,1,0.5534069333771185,0.2284644774396866,1,0.002073824332263783
Node8,0.2487018225250382,1,0,0,0,1,1,0.01957492520947307
296231217,0.1207966283421641,1,0,0,0,1,1,0.01831337299070141
194376888,0.5803407883193739,2,1105.755439245271,0.1433367458277798,90.86177808795401,0,0,2.772362586061613
10435046,10,1,inf,1,-0.0006182452671055216,0.5,1,0.0006213994243158597
Node23,10,1,inf,1,-0.001379140230710618,0.5,1,0.0006227557563925895
